YearMonth,Value
195112,0.2214
195201,0.1588
195202,0.0976
195203,-0.0411
195204,0.0724
195205,0.0398
195206,0.0472
195207,0.0790
195208,0.0718
195209,0.0731
195210,-0.0296
195211,-0.1897
195212,-0.0010
195301,0.1085
195302,0.1570
195303,0.1599
195304,0.1913
195305,0.1488
195306,0.1309
195307,0.0733
195308,0.0870
195309,0.0702
195310,0.0778
195311,-0.0557
195312,0.0624
195401,-0.2305
195402,-0.0819
195403,-0.0861
195404,-0.1714
195405,-0.1964
195406,-0.1094
195407,-0.1164
195408,-0.0842
195409,-0.0525
195410,-0.0651
195411,0.0443
195412,-0.1803
195501,0.0940
195502,-0.1270
195503,-0.3039
195504,-0.2342
195505,-0.1226
195506,-0.0640
195507,-0.0829
195508,-0.0200
195509,-0.0878
195510,-0.1188
195511,-0.2335
195512,-0.2657
195601,-0.1720
195602,-0.2693
195603,-0.1938
195604,-0.2801
195605,-0.2229
195606,-0.1392
195607,-0.1302
195608,-0.1811
195609,-0.2478
195610,-0.1956
195611,-0.1509
195612,-0.1483
195701,-0.1147
195702,-0.1075
195703,-0.0616
195704,-0.0139
195705,0.1139
195706,0.1646
195707,0.0658
195708,0.1362
195709,0.0795
195710,0.0194
195711,0.1343
195712,0.2346
195801,0.3023
195802,0.2143
195803,0.1243
195804,0.1178
195805,0.1084
195806,0.0693
195807,0.0698
195808,0.0589
195809,0.0245
195810,0.0450
195811,0.0957
195812,0.1517
195901,0.1295
195902,0.0704
195903,0.2079
195904,0.1214
195905,0.0311
195906,0.0899
195907,0.0722
195908,0.0572
195909,0.1010
195910,-0.0097
195911,-0.0766
195912,-0.0310
196001,0.0056
196002,0.1921
196003,-0.2021
196004,-0.0942
196005,-0.0808
196006,0.0803
196007,0.0382
196008,0.0512
196009,0.0672
196010,0.0411
196011,-0.0440
196012,0.2318
196101,0.1219
196102,0.1797
196103,0.1680
196104,0.1365
196105,0.1656
196106,0.1522
196107,0.0391
196108,0.0368
196109,-0.0001
196110,-0.0306
196111,0.0196
196112,-0.0129
196201,0.1372
196202,0.1734
196203,0.1242
196204,0.0810
196205,0.0633
196206,0.0636
196207,0.0943
196208,0.0614
196209,0.0670
196210,0.0842
196211,0.0795
196212,0.0931
196301,0.0427
196302,0.2610
196303,-0.0177
196304,0.0007
196305,0.0166
196306,0.0548
196307,0.1440
196308,0.1632
196309,0.1690
196310,0.2184
196311,0.1985
196312,0.0858
196401,0.0532
196402,-0.1017
196403,-0.1387
196404,-0.1819
196405,-0.0943
196406,-0.0895
196407,-0.1076
196408,-0.1619
196409,-0.2050
196410,-0.2627
196411,-0.1983
196412,-0.2606
196501,-0.0671
196502,-0.1925
196503,-0.0966
196504,-0.1843
196505,-0.0748
196506,-0.0394
196507,-0.0806
196508,-0.0423
196509,-0.0469
196510,0.0275
196511,-0.0860
196512,-0.0100
196601,-0.0420
196602,-0.0351
196603,0.0006
196604,-0.0879
196605,-0.0318
196606,0.0631
196607,0.0695
196608,0.0230
196609,0.0298
196610,-0.0562
196611,-0.0433
196612,-0.1208
196701,-0.1048
196702,-0.1640
196703,0.0056
196704,0.0084
196705,0.1263
196706,-0.0278
196707,-0.0153
196708,-0.0029
196709,-0.0288
